Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Chile,1970/01,DROUGHT,37,,,,,,,,,
Chile,1970/01,EPIDEMIC,3,,507,,,,,,,
Chile,1970/01,FIRE,10,7,11,,25,11,122,426,,
Chile,1970/01,FORESTFIRE,18,,,,,,,,,
Chile,1970/01,PLAGUE,2,,,,,,,,,
Chile,1970/01,STRUCTURE,1,,,,,,,,,
Chile,1970/02,DROUGHT,5,,,,,,,,,
Chile,1970/02,EPIDEMIC,7,,,,,,,,,
Chile,1970/02,FIRE,4,3,16,,5,8,57,,,
Chile,1970/02,FORESTFIRE,23,,,,8,,,,,
Chile,1970/02,PLAGUE,1,,,,,,,,,
Chile,1970/03,ACCIDENT,1,,1,,,,9,9,,
Chile,1970/03,DROUGHT,20,,,,,,,,,
Chile,1970/03,EPIDEMIC,1,,,,,,,,,
Chile,1970/03,FIRE,6,8,8,,5,,36,1,,
Chile,1970/03,FORESTFIRE,2,1,,,,,,,,
Chile,1970/03,LITORAL,1,3,,,,,,,,
Chile,1970/03,SNOWSTORM,1,,,,,,,,,
Chile,1970/04,BIOLOGICAL,1,,,,,,,,,
Chile,1970/04,DROUGHT,20,,,,,,,,,
Chile,1970/04,EPIDEMIC,1,,,,,,,,,
Chile,1970/04,FIRE,9,4,,,6,,51,,,
Chile,1970/04,FORESTFIRE,1,,,,,,,,,
Chile,1970/04,PLAGUE,8,,,,,,,,,
Chile,1970/04,STORM,2,,,,1,,5,,,
Chile,1970/04,STRONGWIND,1,,,,1,,6,,,
Chile,1970/05,ACCIDENT,3,,,3,,,25,,,25
Chile,1970/05,EPIDEMIC,4,2,7,,,,,,,
Chile,1970/05,FIRE,2,3,9,,20,1,102,,,
Chile,1970/05,FLOOD,2,,,,,,,,,
Chile,1970/05,LANDSLIDE,1,,,,,,,,,
Chile,1970/05,PLAGUE,1,,,,,,,,,
Chile,1970/05,POLLUTION,1,,,,,,,,,
Chile,1970/05,SNOWSTORM,2,,,,,,,23,,
Chile,1970/05,STORM,29,2,3,,1,101,4,,,
Chile,1970/06,ACCIDENT,1,,4,,,,,,,
Chile,1970/06,DROUGHT,2,,,,,,,,,
Chile,1970/06,EARTHQUAKE,6,,,,,,,,,
Chile,1970/06,FIRE,4,,,,1,,138,,,
Chile,1970/06,FLOOD,1,,,,,,,,,
Chile,1970/06,FORESTFIRE,1,,,,,,,,,
Chile,1970/06,FROST,1,,,,,,,,,
Chile,1970/06,RAIN,5,,,,,,,,,
Chile,1970/06,STORM,9,,,,,,208,,,208
Chile,1970/07,ACCIDENT,1,,,,,,,,,
Chile,1970/07,EPIDEMIC,3,,,,,,,,,
Chile,1970/07,EXPLOSION,1,,2,,,,,,,
Chile,1970/07,FIRE,5,,5,,2,,,,,50
Chile,1970/07,FLOOD,2,,,,,,,,,
Chile,1970/07,FROST,9,,,,,,,,,
Chile,1970/07,INTOXICACIÓN,2,2,64,,,,,,,
Chile,1970/07,LANDSLIDE,1,,,,,,,,,
Chile,1970/07,PLAGUE,1,,,,,,,,,
Chile,1970/07,RAIN,1,,,,,,,,,
Chile,1970/07,SNOWSTORM,4,,,,,,,430,,
Chile,1970/07,STORM,46,1,,,3,77,2779,7400,,1494
Chile,1970/07,SURGE,1,,,,,,,,,
Chile,1970/08,ACCIDENT,4,8,,20,,,,,,
Chile,1970/08,EPIDEMIC,10,9,38,,,,,,,
Chile,1970/08,FIRE,6,4,,,2,3,49,,,
Chile,1970/08,FROST,1,,,,,,,,,
Chile,1970/08,RAIN,2,,,,,,,,,
Chile,1970/08,STORM,4,,,,,,,,,
Chile,1970/09,ACCIDENT,1,2,,2,,,,,,
Chile,1970/09,EPIDEMIC,1,,,,,,,,,
Chile,1970/09,FIRE,6,5,3,,3,,5,,,
Chile,1970/09,PLAGUE,2,,,,,,,,,
Chile,1970/09,POLLUTION,1,,,,,,,,,
Chile,1970/09,SNOWSTORM,1,,,,,,,,,
Chile,1970/09,STORM,1,,,,,,,,,
Chile,1970/10,ACCIDENT,3,6,,,,,,16,,
Chile,1970/10,EPIDEMIC,6,7,164,,,,,,,
Chile,1970/10,EXPLOSION,1,,1,,1,,,,,
Chile,1970/10,FIRE,7,3,4,1,3,1,14,,,
Chile,1970/10,FORESTFIRE,1,,,,1,,,,,
Chile,1970/10,FROST,5,,,,,,,,,
Chile,1970/10,SNOWSTORM,1,,,,,,,,,
Chile,1970/10,STORM,1,,,,,,,,,
Chile,1970/11,ACCIDENT,2,,4,8,,,2,,,
Chile,1970/11,EARTHQUAKE,1,,1,,,,,,,
Chile,1970/11,EPIDEMIC,5,9,42,,,,,,,
Chile,1970/11,FIRE,3,1,,,15,1,60,,,
Chile,1970/12,ACCIDENT,1,,1,2,,,,,,
Chile,1970/12,EARTHQUAKE,9,,,,,3,100,,,
Chile,1970/12,EPIDEMIC,2,,130,,,,,,,
Chile,1970/12,EXPLOSION,2,1,13,,,,,,,
Chile,1970/12,FIRE,7,3,2,,14,1,188,,,
Chile,1970/12,FORESTFIRE,4,,,,,,,,,
Chile,1970/12,POLLUTION,1,,,,,,,,,
Chile,1971/01,DROUGHT,1,,,,,,,,,
Chile,1971/01,EPIDEMIC,2,,900,,,,,,,
Chile,1971/01,EXPLOSION,1,,1,,,,,,,
Chile,1971/01,FIRE,17,3,8,,64,5,414,7,,210
Chile,1971/01,FORESTFIRE,9,,,,,,,,,
Chile,1971/01,STORM,1,,,,,,,,,
Chile,1971/02,BIOLOGICAL,2,,,,,,,,,
Chile,1971/02,DROUGHT,2,,,,,,,,,
Chile,1971/02,EARTHQUAKE,7,,1,,,,,,,
Chile,1971/02,EPIDEMIC,3,1,10,,,,,,,
Chile,1971/02,FIRE,10,4,26,,49,,260,,,150
Chile,1971/02,FORESTFIRE,6,,,,,,,,,
Chile,1971/02,PLAGUE,2,,,,,,,,,
Chile,1971/02,POLLUTION,1,,,,,,,,,
Chile,1971/02,RAIN,8,,,,,,,,,
Chile,1971/02,STORM,11,,,,,,,,,
Chile,1971/02,STRONGWIND,1,,,,1,,,,,
Chile,1971/03,DROUGHT,2,,,,,,,,,
Chile,1971/03,FIRE,10,6,16,,33,9,319,1600,,
Chile,1971/03,FLOOD,1,2,,,,,,,,
Chile,1971/03,FORESTFIRE,1,,,,,,,,,
Chile,1971/03,POLLUTION,1,,,,,,,,,
Chile,1971/04,ACCIDENT,2,,1,,,,2,,,
Chile,1971/04,FIRE,5,1,3,,3,1,8,,,4
Chile,1971/04,FROST,1,,,,,,,20,,
Chile,1971/04,STORM,4,2,,,,,,,,
Chile,1971/05,EXPLOSION,1,,3,,,,,,,
Chile,1971/05,FIRE,3,,5,,,,,,,
Chile,1971/05,FLOOD,6,1,1,,2,30,200,,,
Chile,1971/05,FROST,1,,,,,,,,,
Chile,1971/05,POLLUTION,3,,,,,,,,,
Chile,1971/05,SPATE,1,,,,,,60,,,60
Chile,1971/05,STORM,25,,,,,,2425,28720,,
Chile,1971/06,ACCIDENT,2,5,,3,,,,,,
Chile,1971/06,AVALANCHE,1,1,,,,,,,,
Chile,1971/06,EARTHQUAKE,1,1,,,,,,,,
Chile,1971/06,EPIDEMIC,7,45,11,,,,,,,
Chile,1971/06,FIRE,6,4,3,,3,1,9,,,
Chile,1971/06,FLOOD,3,,,,,10,76,,,36
Chile,1971/06,FROST,3,,,,,,,,,
Chile,1971/06,PLAGUE,2,,,,,,,,,
Chile,1971/06,POLLUTION,1,,,,,,,,,
Chile,1971/06,RAIN,7,,,,,,512,,,
Chile,1971/06,SNOWSTORM,39,7,,18,,1,706,771,,700
Chile,1971/06,STORM,39,,,,2,24,3515,5,,2930
Chile,1971/06,STRONGWIND,2,,,,,,,,,
Chile,1971/07,EARTHQUAKE,64,80,377,,13160,92,2784,,,1784
Chile,1971/07,EPIDEMIC,2,1,36,,,,,,,
Chile,1971/07,FIRE,9,13,7,,11,,28,500,,
Chile,1971/07,FLOOD,3,1,1,,1,40,558,40,,300
Chile,1971/07,POLLUTION,1,,,,,,,,,
Chile,1971/07,RAIN,3,,,,,,,,,
Chile,1971/07,SNOWSTORM,7,,,,,,,,,
Chile,1971/07,SPATE,3,,,,,,,,,
Chile,1971/07,STORM,12,,,,6,393,3592,,,
Chile,1971/08,ACCIDENT,1,,,3,,,,,,
Chile,1971/08,EARTHQUAKE,1,,,,,,,,,
Chile,1971/08,ELECTRICSTORM,3,,,,,,,,,
Chile,1971/08,EPIDEMIC,2,6,,,,,,,,
Chile,1971/08,ERUPTION,4,2,16,18,,,790,,,790
Chile,1971/08,FIRE,4,3,2,,2,,5,500,,
Chile,1971/08,FLOOD,6,,,,,6,79,300,,79
Chile,1971/08,LANDSLIDE,1,,,,,,,,,
Chile,1971/08,PLAGUE,1,,,,,,,,,
Chile,1971/08,RAIN,2,,6,,,,369,,,53
Chile,1971/08,SNOWSTORM,3,,,,,,,6,,
Chile,1971/08,STORM,10,,,,,,400,5000,,400
Chile,1971/09,ACCIDENT,1,,,,,,,,,
Chile,1971/09,EPIDEMIC,2,,17,,,,,,,
Chile,1971/09,EXPLOSION,1,,,,,,,,,
Chile,1971/09,FIRE,7,3,3,,4,,6,,,
Chile,1971/09,FLOOD,2,,,,,30,100,,,
Chile,1971/09,FROST,1,1,,,,,,,,
Chile,1971/09,SURGE,1,,,,,,,,,
Chile,1971/10,EPIDEMIC,1,,140,,,,,,,
Chile,1971/10,FIRE,4,,1,,5,1,6,,,
Chile,1971/10,FROST,4,,,,,,,,,
Chile,1971/10,PLAGUE,1,,,,,,,,,
Chile,1971/11,DROUGHT,2,,,,,,,,,
Chile,1971/11,FIRE,6,4,8,,21,1,57,,,
Chile,1971/11,STRONGWIND,1,,,,,,,,,
Chile,1971/12,ERUPTION,5,19,30,5,,,1000,50,,700
Chile,1971/12,EXPLOSION,1,,4,,1,,4,,,
Chile,1971/12,FIRE,9,17,8,,9,1,37,,,
Chile,1971/12,FORESTFIRE,6,,,,,,,,,
Chile,1971/12,PLAGUE,2,,,,,,,,,
Chile,1972/01,ALLUVION,1,,,,,,,,,
Chile,1972/01,DROUGHT,8,,,,,,,384300,,
Chile,1972/01,EPIDEMIC,1,,3,,,,,,,
Chile,1972/01,FIRE,10,8,4,,13,1,43,,,
Chile,1972/01,FORESTFIRE,10,,1,,,,,,,
Chile,1972/01,HEATWAVE,1,,,,,,,,,
Chile,1972/01,POLLUTION,4,,,,,,,,,
Chile,1972/01,RAIN,5,,,,,,,,,
Chile,1972/01,SNOWSTORM,2,,,,,,,,,
Chile,1972/01,STORM,4,,,,,,,1000,,
Chile,1972/02,ALLUVION,10,,,,813,,3360,265000,,1050
Chile,1972/02,DROUGHT,11,,,,,,20000,,,
Chile,1972/02,FIRE,9,3,8,,20,2,226,12,,
Chile,1972/02,FORESTFIRE,11,1,76,,2000,,1200,,,
Chile,1972/02,HEATWAVE,3,,,,,,,,,
Chile,1972/02,PLAGUE,3,,,,,,,,,
Chile,1972/02,POLLUTION,1,,,,,,,,,
Chile,1972/02,RAIN,2,,,,,,104,,,32
Chile,1972/02,SURGE,1,,,,,,,800,,
Chile,1972/03,DROUGHT,2,,,,,,,,,
Chile,1972/03,FIRE,4,,,,4,4,30,,,
Chile,1972/03,FORESTFIRE,5,,,,,,,,,
Chile,1972/03,PLAGUE,7,,,,,,,20000,,
Chile,1972/03,STORM,1,,,,,,,28,,60
Chile,1972/04,DROUGHT,1,,,,,,,,,
Chile,1972/04,FIRE,6,5,,,11,11,207,1200,,
Chile,1972/04,PLAGUE,1,,,,,,,,,
Chile,1972/04,STORM,1,,,,,,24,6,,
Chile,1972/05,DROUGHT,6,,,,,,,,,
Chile,1972/05,EXPLOSION,1,,1,,,,,,,
Chile,1972/05,FIRE,3,4,,,1,,8,,,
Chile,1972/05,FLOOD,1,,,,,,,,,
Chile,1972/05,STORM,75,4,,20,9,10537,50742,10020,360,16699
Chile,1972/05,STRONGWIND,1,,,,,,,,,150
Chile,1972/05,SURGE,2,,,,2,,,,,
Chile,1972/06,ALLUVION,1,2,1,,1,,700,,,
Chile,1972/06,DROUGHT,2,,,,,,,,,
Chile,1972/06,EARTHQUAKE,3,,,,,5,20,,,20
Chile,1972/06,EPIDEMIC,3,,10,,,,20,,,
Chile,1972/06,FIRE,2,7,,,1,,,,,
Chile,1972/06,FLOOD,2,,,,,,400,19,,
Chile,1972/06,POLLUTION,1,,,,,,,,,
Chile,1972/06,SNOWSTORM,7,1,,,,,157,19,,
Chile,1972/06,STORM,12,,,,,,1150,4,196,
Chile,1972/06,STRONGWIND,4,3,3,,1,,,,,
Chile,1972/06,SURGE,1,,,,,,,,,
Chile,1972/07,ELECTRICSTORM,1,,,,,,,,,
Chile,1972/07,EPIDEMIC,50,,,,,,,,,
