Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Colombia,1914/11,FLOOD,1,,,,,,,,,
Colombia,1915/03,EPIDEMIC,1,,,,,,,,,
Colombia,1916/03,FLOOD,1,,,,,,,,,
Colombia,1917/08,EARTHQUAKE,18,9,42,,56,593,,15000,,
Colombia,1920/09,FLOOD,1,,,,,,,,,
Colombia,1921/04,FLOOD,2,,,,,,,,,
Colombia,1921/07,LANDSLIDE,1,3,,,,,,,,
Colombia,1921/08,EARTHQUAKE,1,1,,,,,,,,
Colombia,1921/10,LANDSLIDE,2,,,,,,,,,
Colombia,1921/12,SPATE,1,,,,5,,,,,
Colombia,1922/03,FLOOD,2,,,,50,,,,,
Colombia,1922/05,FLOOD,1,10,1,,1,,,100,,
Colombia,1922/09,FLOOD,1,,,,10,,,,,
Colombia,1922/11,FLOOD,4,1,,,2,,8,100,,
Colombia,1922/11,LANDSLIDE,2,8,,,,,,,,
Colombia,1922/11,SPATE,1,,,,,,,,,
Colombia,1922/11,STORM,1,,,,,,,,,
Colombia,1922/12,FLOOD,1,2,,,,,,,,
Colombia,1922/12,LANDSLIDE,1,,,,1,,,,,
Colombia,1923/01,FLOOD,1,,,,,,,,,
Colombia,1923/06,LANDSLIDE,1,3,5,,,,,,,
Colombia,1923/06,STORM,1,,,,,,,,,
Colombia,1923/12,EARTHQUAKE,9,13,3,,77,95,,,,
Colombia,1923/12,LANDSLIDE,1,,4,,,,,,,
Colombia,1924/01,EARTHQUAKE,2,,,,1,,,,,
Colombia,1924/05,FLOOD,1,,,,1,,,,,
Colombia,1924/05,LANDSLIDE,3,3,,,,,,,,
Colombia,1924/05,SPATE,1,,,,,,,,,
Colombia,1924/05,STORM,1,,,,,,,,,
Colombia,1924/06,LANDSLIDE,1,1,,,,,,,,
Colombia,1925/04,FLOOD,2,,,,50,,,,,
Colombia,1925/06,FLOOD,1,,,,,,,,,
Colombia,1926/10,FLOOD,1,,,,,,,,,
Colombia,1927/02,LANDSLIDE,1,,,,2,,,8,,
Colombia,1927/02,STORM,1,,,,,,,,,
Colombia,1927/04,LANDSLIDE,1,,,,,,,,,
Colombia,1927/04,STORM,1,8,,,10,,,,,
Colombia,1927/05,LANDSLIDE,3,,,,,,,,,
Colombia,1927/07,FLOOD,1,,,,10,,,,,
Colombia,1927/07,LANDSLIDE,2,31,2,,,,,,,
Colombia,1927/11,LANDSLIDE,1,,,,,,,,,
Colombia,1928/01,FLOOD,1,,,,,,,,,
Colombia,1928/11,EARTHQUAKE,15,11,,,,,,,,
Colombia,1928/11,FLOOD,1,,,,,,,,,
Colombia,1928/11,LANDSLIDE,1,5,10,,,,,,,
Colombia,1928/11,SPATE,3,,,,50,,,,,
Colombia,1929/04,LANDSLIDE,2,7,,,,,,,,
