Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Ecuador,1970/01,ACCIDENT,1,3,,34,,,,,,
Ecuador,1970/01,EPIDEMIC,1,3,25,,,,,,,
Ecuador,1970/01,FIRE,1,,2,,7,7,,,,
Ecuador,1970/02,ACCIDENT,5,39,62,,,,,,,
Ecuador,1970/03,ACCIDENT,2,52,74,,,,,,,
Ecuador,1970/03,LANDSLIDE,1,15,,,,,,,,
Ecuador,1970/04,ACCIDENT,1,2,5,,,,,,,
Ecuador,1970/04,FLOOD,4,20,,,,,,,,
Ecuador,1970/05,ACCIDENT,2,5,3,,,,,,,
Ecuador,1970/05,FIRE,1,,42,,8,,,,,
Ecuador,1970/05,FLOOD,1,,,,,,,,,
Ecuador,1970/06,ACCIDENT,1,,3,,1,,,,,
Ecuador,1970/07,ACCIDENT,1,2,13,,,,,,,
Ecuador,1970/07,LANDSLIDE,1,1,4,,,,,,,
Ecuador,1970/08,ACCIDENT,3,10,122,,,,,,,
Ecuador,1970/09,ACCIDENT,2,11,92,,,,,,,
Ecuador,1970/10,ACCIDENT,2,1,37,,,,,,,
Ecuador,1970/10,FIRE,1,,4,,,,,,,
Ecuador,1970/10,POLLUTION,1,1,,,,,,,,
Ecuador,1970/11,ACCIDENT,1,22,12,,,,,,,
Ecuador,1970/11,EXPLOSION,1,1,7,,,2,,,,
Ecuador,1970/11,FIRE,1,,,2,2,2,,30,,
Ecuador,1970/12,ACCIDENT,1,9,,,,,,,,
Ecuador,1970/12,EARTHQUAKE,3,,,,,,,,,
Ecuador,1970/12,FIRE,1,3,,,3,,,,,
Ecuador,1971/01,ACCIDENT,1,3,48,,,,,,,
Ecuador,1971/03,ACCIDENT,3,11,79,,,,,,,
Ecuador,1971/03,FLOOD,1,,,,,,,,,
Ecuador,1971/03,LANDSLIDE,1,30,,,,,,,,
Ecuador,1971/04,ACCIDENT,3,,81,,,,,,,
Ecuador,1971/05,ACCIDENT,2,5,37,,,,,,,
Ecuador,1971/06,FIRE,1,,,,,3,,,,
Ecuador,1971/07,ACCIDENT,3,15,12,,,,,,,
Ecuador,1971/08,ACCIDENT,4,12,44,15,,,,,,
Ecuador,1971/08,FIRE,2,1,4,,7,,75,13,,
Ecuador,1971/09,ACCIDENT,1,9,30,,,,,,,
Ecuador,1971/10,ACCIDENT,2,5,,,,,,,,
Ecuador,1971/11,ACCIDENT,2,2,13,,,,,,,
Ecuador,1971/11,FIRE,1,2,,,,,,,,
Ecuador,1971/12,ACCIDENT,2,6,5,,,,,,,
Ecuador,1971/12,FIRE,2,2,4,,6,13,40,,,
Ecuador,1972/01,ACCIDENT,1,2,16,,,,,,,
Ecuador,1972/02,ACCIDENT,2,6,,,,,,,,
Ecuador,1972/03,ACCIDENT,4,25,50,,,,,,,
Ecuador,1972/04,ACCIDENT,2,6,8,,,,,,,
Ecuador,1972/05,EXPLOSION,1,2,13,,,,,,,
Ecuador,1972/07,ACCIDENT,3,4,42,,,,,,,
Ecuador,1972/07,FIRE,1,1,,,,,,,,
Ecuador,1972/08,ACCIDENT,2,49,15,,,,,,,
Ecuador,1972/09,FIRE,1,,,,10,,,,,
Ecuador,1972/09,POLLUTION,1,4,,,,,,,,
Ecuador,1972/11,ACCIDENT,2,14,84,,,,,,,
Ecuador,1972/12,ACCIDENT,1,1,20,,,,,,,
Ecuador,1972/12,FIRE,1,,1,,1,,,,,
Ecuador,1973/01,ACCIDENT,1,6,25,,,,,,,
Ecuador,1973/01,FIRE,1,,,,40,,20,,,
Ecuador,1973/01,FLOOD,1,,,,,,,,,
Ecuador,1973/02,FIRE,2,,5,,4,,60,,,
Ecuador,1973/02,FLOOD,2,,,,,,,,,
Ecuador,1973/03,FIRE,1,,,,5,,,,,
Ecuador,1973/03,FLOOD,1,,,,30,,,,,
Ecuador,1973/03,POLLUTION,1,4,,,,,,,,
Ecuador,1973/03,STRUCTURE,1,,3,,,,,,,
Ecuador,1973/04,ACCIDENT,1,10,20,,,,,,,
Ecuador,1973/04,FIRE,1,,,,1,,,,,
Ecuador,1973/04,LANDSLIDE,1,30,,,7,,,,,
Ecuador,1973/05,FIRE,1,,4,,,,,,,
Ecuador,1973/05,LANDSLIDE,1,5,20,,,,,,,
Ecuador,1973/07,LANDSLIDE,1,8,,,,,,,,
Ecuador,1973/08,ACCIDENT,3,7,62,,,,,,,
Ecuador,1973/08,FIRE,1,12,5,,16,,120,,,
Ecuador,1973/09,ACCIDENT,1,18,28,,,,,,,
Ecuador,1973/09,FIRE,1,1,,,,,,,,
Ecuador,1973/10,ACCIDENT,2,32,43,,,,,,,
Ecuador,1973/11,ACCIDENT,2,15,35,,,,,,,
Ecuador,1973/12,ACCIDENT,4,166,37,60,,,,,,
Ecuador,1974/01,ACCIDENT,1,1,20,,,,,,,
Ecuador,1974/02,ACCIDENT,3,11,42,,,,,,,
Ecuador,1974/02,FLOOD,1,,,,,,,,,
Ecuador,1974/03,FIRE,1,1,,,,,60,,,
Ecuador,1974/04,FIRE,1,2,22,,8,,20,,,
Ecuador,1974/05,ACCIDENT,3,34,24,,1,,,,,
Ecuador,1974/06,ACCIDENT,1,5,20,,,,,,,
Ecuador,1974/07,ACCIDENT,1,2,29,,,,,,,
Ecuador,1974/07,FLOOD,1,6,,,,,,,,
Ecuador,1974/07,LANDSLIDE,1,12,,,,,,,,
Ecuador,1974/11,ACCIDENT,2,5,20,,12,,3,,,
Ecuador,1974/12,ACCIDENT,1,5,8,,,,,,,
Ecuador,1974/12,FIRE,1,2,,,2,,,,,
Ecuador,1975/01,ACCIDENT,1,32,18,,,,,,,
Ecuador,1975/02,ACCIDENT,1,8,23,,,,,,,
Ecuador,1975/02,FIRE,1,4,15,,1,,,,,
Ecuador,1975/02,FLOOD,1,5,,,,,,,,
Ecuador,1975/02,LANDSLIDE,1,4,6,,,,,,,
Ecuador,1975/03,LANDSLIDE,1,2,18,,,,,,,
Ecuador,1975/04,ACCIDENT,1,1,,,,,,,,
Ecuador,1975/05,ACCIDENT,1,4,24,,,,,,,
Ecuador,1975/05,FIRE,1,,3,,1,,,,,
Ecuador,1975/06,ACCIDENT,1,3,9,,,,,,,
Ecuador,1975/12,FIRE,1,,,,1,,,,,
Ecuador,1976/02,ACCIDENT,1,3,20,,,,,,,
Ecuador,1976/02,FLOOD,1,,,,,,,,,
Ecuador,1976/03,FIRE,1,1,30,,1,,,,,
Ecuador,1976/03,LANDSLIDE,1,,,60,,,,,,
Ecuador,1976/04,ACCIDENT,2,7,29,,,,,,,
Ecuador,1976/04,EARTHQUAKE,1,,,,,,,,,
Ecuador,1976/04,LANDSLIDE,1,5,7,10,6,,,,,
Ecuador,1976/06,STRUCTURE,1,1,5,2,,,,,,
Ecuador,1976/07,ACCIDENT,1,8,13,,1,,,,,
Ecuador,1976/08,ACCIDENT,1,1,7,,,,,,,
Ecuador,1976/09,ACCIDENT,1,4,12,,6,,,,,
Ecuador,1976/10,EARTHQUAKE,1,6,4,,6,,10,,,
Ecuador,1976/11,FIRE,1,14,,,7,,,,,
Ecuador,1977/07,ACCIDENT,1,1,16,,,,,,,
Ecuador,1977/07,FIRE,1,,,,6,,,,,
Ecuador,1977/07,LANDSLIDE,1,3,1,,,,,,,
Ecuador,1977/07,SPATE,1,2,,,,,,,,
Ecuador,1977/08,FIRE,2,,,,8,,,,,
Ecuador,1977/08,POLLUTION,1,3,,,,,,,,
Ecuador,1977/09,ACCIDENT,4,39,9,,,,,,,
Ecuador,1977/09,FIRE,2,,,,6,,,30,,
Ecuador,1977/09,POLLUTION,1,6,,,,,,,,
Ecuador,1977/10,ACCIDENT,7,18,124,,,,,,,
Ecuador,1977/10,EXPLOSION,1,,3,,,,,,,
Ecuador,1977/10,FIRE,3,3,14,,1,,,,,
Ecuador,1977/10,OTHER,1,22,,1,,,,,,
Ecuador,1977/11,ACCIDENT,2,6,15,,,,,,,
Ecuador,1977/11,EXPLOSION,1,,6,,,,,,,
Ecuador,1977/11,FIRE,2,1,,,6,1,,50,,
Ecuador,1977/12,ACCIDENT,1,24,,,,,,,,
Ecuador,1977/12,FIRE,3,,,,2,4,,,,
Ecuador,1978/01,FIRE,2,,,,1,,,,,
Ecuador,1978/02,DROUGHT,1,,,,,,,,,
