Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Venezuela,2010/40,FLOOD,1,,,,,25,,109,,
Venezuela,2010/60,LANDSLIDE,1,3,,,,,,,,
Venezuela,1530/01,EARTHQUAKE,1,,,,,,,,,
Venezuela,1541/00,HURRICANE,1,,,,,,,,,
Venezuela,1573/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1574/00,PLAGUE,2,,,,,,,,,
Venezuela,1576/00,PLAGUE,2,,,,,,,,,
Venezuela,1578/00,EPIDEMIC,2,,,,,,,,,
Venezuela,1579/00,FIRE,1,,,,,,,,,
Venezuela,1580/00,EPIDEMIC,2,,,,,,,,,
Venezuela,1585/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1596/00,PLAGUE,2,,,,,,,,,
Venezuela,1598/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1599/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1606/00,OTHER,2,,,,,,,,,
Venezuela,1608/00,OTHER,2,,,,,,,,,
Venezuela,1612/00,DROUGHT,2,,,,,,,,,
Venezuela,1614/00,PLAGUE,1,,,,,,,,,
Venezuela,1621/06,EPIDEMIC,3,,,,,,,,,
Venezuela,1623/01,PLAGUE,1,,,,,,,,,
Venezuela,1624/03,EPIDEMIC,1,,,,,,,,,
Venezuela,1626/01,EPIDEMIC,1,,,,,,,,,
Venezuela,1629/00,EARTHQUAKE,1,,,,,,,,,
Venezuela,1638/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1641/06,EARTHQUAKE,2,,,,,,,,,
Venezuela,1641/11,EARTHQUAKE,1,,,,,,,,,
Venezuela,1644/01,EARTHQUAKE,3,,,,,,,,,
Venezuela,1660/00,PLAGUE,2,,,,,,,,,
Venezuela,1661/00,EPIDEMIC,2,,,,,,,,,
Venezuela,1662/00,PLAGUE,1,,,,,,,,,
Venezuela,1663/00,PLAGUE,2,,,,,,,,,
Venezuela,1664/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1668/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1674/01,EARTHQUAKE,3,,,,,,,,,
Venezuela,1684/05,EARTHQUAKE,1,,,,,,,,,
Venezuela,1693/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1694/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1702/00,DROUGHT,1,,,,,,,,,
Venezuela,1703/00,EARTHQUAKE,1,,,,,,,,,
Venezuela,1724/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1726/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1728/00,OTHER,1,,,,,,,,,
Venezuela,1732/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1733/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1733/00,OTHER,1,,,,,,,,,
Venezuela,1740/00,RAIN,1,,,,,,,,,
Venezuela,1742/00,EPIDEMIC,2,,,,,,,,,
Venezuela,1743/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1751/01,OTHER,1,,,,,,,,,
Venezuela,1751/06,OTHER,1,,,,,,,,,
Venezuela,1757/02,RAIN,1,,,,,,,,,
Venezuela,1759/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1762/00,EPIDEMIC,1,,,,,,,,,
Venezuela,1763/00,EPIDEMIC,1,1000,,,,,,,,
Venezuela,1764/00,EPIDEMIC,1,10000,,,,,,,,
Venezuela,1764/00,OTHER,1,,,,,,,,,
Venezuela,1766/01,EARTHQUAKE,1,,,,,,,,,
Venezuela,1775/00,EARTHQUAKE,1,,,,,,,,,
Venezuela,1781/00,RAIN,1,,,,,,,,,
Venezuela,1786/00,EARTHQUAKE,1,,,,,,,,,
Venezuela,1794/00,EARTHQUAKE,1,,,,,,,,,
Venezuela,1799/11,EARTHQUAKE,1,,,,,,,,,
Venezuela,1800/03,SURGE,2,2,,,,,,,,
Venezuela,1801/07,EARTHQUAKE,1,,,,,,,,,
Venezuela,1802/05,EARTHQUAKE,2,,,,,,,,,
Venezuela,1802/08,EARTHQUAKE,1,,,,,,,,,
Venezuela,1812/00,RAIN,1,,,,,,,,,
Venezuela,1812/03,EARTHQUAKE,1,,,,,,,,,
Venezuela,1812/03,RAIN,1,,,,,,,,,
Venezuela,1812/04,RAIN,1,,,,,,,,,
Venezuela,1823/03,EARTHQUAKE,1,,,,,,,,,
Venezuela,1830/04,RAIN,1,,,,,,,,,
Venezuela,1834/08,EARTHQUAKE,1,,,,,,,,,
Venezuela,1837/09,EARTHQUAKE,2,,,,,,,,,
Venezuela,1839/04,EARTHQUAKE,1,,,,,,,,,
Venezuela,1842/04,RAIN,1,,,,,,,,,
Venezuela,1847/00,RAIN,1,,,,,,,,,
Venezuela,1849/02,EARTHQUAKE,1,,,,,,,,,
Venezuela,1853/07,EARTHQUAKE,1,,,,,,,,,
Venezuela,1865/00,EARTHQUAKE,1,,,,,,,,,
Venezuela,1865/11,EARTHQUAKE,1,,,,,,,,,
Venezuela,1874/08,EARTHQUAKE,1,,,,,,,,,
Venezuela,1875/06,STRONGWIND,1,,,,,,,,,
Venezuela,1878/04,EARTHQUAKE,1,100,,,,,,,,
Venezuela,1879/03,EARTHQUAKE,1,,,,,,,,,
Venezuela,1888/01,EARTHQUAKE,1,,,,,,,,,
Venezuela,1888/11,EARTHQUAKE,1,,,,,,,,,
Venezuela,1894/04,EARTHQUAKE,1,319,,,,,,,,
Venezuela,1900/10,EARTHQUAKE,3,,,,,,,,,
Venezuela,1903/02,ACCIDENT,1,2,,,,,,,,
Venezuela,1904/06,ACCIDENT,1,,,,,,,,,
Venezuela,1904/07,ACCIDENT,1,,,,,,,,,
Venezuela,1905/05,EARTHQUAKE,2,,,,100,100,,,,
Venezuela,1905/12,ACCIDENT,1,,,,,,,,,
Venezuela,1906/04,ACCIDENT,1,,,,,,,,,
Venezuela,1912/10,ACCIDENT,1,,,,,,,,,
Venezuela,1919/03,EARTHQUAKE,1,,,,,,,,,
Venezuela,1929/01,EARTHQUAKE,2,50,800,,,,,,,
Venezuela,1931/08,ACCIDENT,1,102,,,,,,,,
Venezuela,1932/03,EARTHQUAKE,2,,,,,,,,,
Venezuela,1942/10,EARTHQUAKE,1,,,,22,,,,,
Venezuela,1945/10,EARTHQUAKE,1,,,,,,,,,
Venezuela,1949/11,LANDSLIDE,2,,,,,,,,,
Venezuela,1950/08,EARTHQUAKE,2,,,,250,700,,,,
Venezuela,1950/12,ACCIDENT,1,29,,,,,,,,
Venezuela,1951/01,ACCIDENT,1,1,,,,,,,,
Venezuela,1951/02,FLOOD,1,30,,,,,,,,
Venezuela,1951/02,LANDSLIDE,1,1,12,,5,5,18,18,,
Venezuela,1951/02,RAIN,6,2,5,,1,4,4,,,
Venezuela,1957/04,EARTHQUAKE,2,,,,,,,,,
Venezuela,1957/07,EARTHQUAKE,1,,,,,,,,,
Venezuela,1957/10,EARTHQUAKE,3,,,,,,,,,
Venezuela,1958/00,ALLUVION,1,74,,,,,,,,
