"Country","Event","DataCards","Deaths","Injured","Houses_Affected","Affected","Relocation"
"Angola","PLANE CRASH",1,10,150,30,300,262
"Angola","FLOOD",1,150,1500,797.47,19800,1754.06
"Angola","FLOOD",1,100,200,140,672,433.28
"Angola","FLOOD",1,25,36,128.066666666667,732,191.88
"Angola","EPIDEMIC",1,227,447.12,1033.4,504,1583.02
"Angola","FLOOD",4,4.7,12.01,128,228,150
"Angola","LANDSLIDE",1,100,450,1224,7924,782.34
"Angola","FLOOD",1,2,9,18.1299267399267,117,39.75
"Angola","Heavy Rain With Lightnings",1,250,700,221,2376,910.05
"Angola","FLOOD",1,7.32166666666667,26.95,857,7260.4775,192.48
"Angola","ROAD ACCIDENT",1,16,22.44,33.1479463364293,32,173.26
"Angola","FLOOD",1,80,5,130,1224,100
"Angola","ROAD ACCIDENT",2,13,38,48.1325,899.8375,251.8
"Angola","ROAD ACCIDENT",1,4,21,149.607941558442,5950.10571428571,461.79
"Angola","FLOOD",1,1,2,311,313,2
"Angola","FLOOD",1,7,5,152.936454545455,1259.625,201.74
"Angola","DROUGHT",1,21.315,48.78,177.394666666667,1000,652.49
"Angola","FIRE",2,2.65033333333333,4.09,6,27.3523333333333,43.18
"Angola","FIRE",1,2.86723972106325,3.62583333333333,7,44.1408333333333,49.58
"Angola","FLOOD",8,5.49222222222222,20,423,1431,461.19
"Angola","EROSION",1,6.635,16.99,303,2547.045,408.66
"Angola","FLOOD",1,2,7,1897,1906,14
"Angola","ROAD ACCIDENT",1,14,21,54.3476709401709,70,227.93
"Angola","FLOOD",1,2,23,101.50375,559.436666666667,284.18
"Angola","Heavy Rain With Lightnings",2,1,23.55,654,2784,650.95
"Angola","FLOOD",1,10.5766666666667,26.98,153.774333333333,300,225.45
"Angola","ROAD ACCIDENT",1,11,6,12.0293333333333,34,32.57
"Angola","AVIATION ACCIDENT",1,15,35,104.545,3626.25,154.36
"Angola","EPIDEMIC",1,67,40.654,126.846666666667,804,418.66
"Angola","FLOOD",4,7,23,2588,22769,141
"Angola","RIVERINE FLOOD",4,9,10,276,2140,90.03
"Angola","Heavy Rain With Lightnings",2,8.74,23.62,616,3708,591.41
"Angola","FLOOD",1,5.79111111111111,14.4,47.2356666666667,264,114.7
"Angola","RIVERINE FLOOD",1,4,6.19611111111111,6,24,47.84
"Angola","FLOOD",1,8.56,24.56,44,548.655,76
"Angola","CHOLERA",1,9,21.26,51.7836666666667,352,261.39
"Angola","RIVERINE FLOOD",1,10,15,41,379.7775,118
"Angola","FLOOD",1,80,5,201,600,744.05
"Angola","LIGHTNING",1,4,9,7.40461489898989,24.6816666666667,35.3
"Angola","DROUGHT",1,25.418,178.09,14854.78,149590,3078.57
"Angola","FLOOD",3,21,6,1307,12456,653.85
"Angola","RIVERINE FLOOD",2,9,2,47,48,120.45
"Angola","FLOOD",7,31,37,2126,10866,750.29
"Angola","Heavy Rain With Lightnings",1,1,10.71,88,528,194
"Angola","FLOOD",3,51,40,3343,6812,1748.79
"Angola","FLOOD",1,7.09321428571429,20.09,43,468,180.68
"Angola","Heavy Rain With Lightnings",1,15.625,25.76,199,1200,520.37
"Angola","Heavy Rain With Lightnings",1,6.10166666666667,17.6,181,2088,269.32
"Angola","DROUGHT",1,19,30.24,34.24,140,221
"Angola","ROAD ACCIDENT",1,5,1,215.684872877123,49619.125,351.8
"Angola","Heavy Rain With Lightnings",1,18.6575,23,308,1848,502.87
"Angola","DROUGHT",1,19.498,176.74,9392.62,90690,4792.24
"Angola","Heavy Rain With Lightnings",1,87,1014,131.185,7246.58,1235.37
"Angola","ROAD ACCIDENT",1,9,8,18.4651239177489,58.17,33.14
"Angola","EXPLOSION",1,1,5,56.4590117957621,452.335966117216,124.5
"Angola","Heavy Rain With Lightnings",2,15,90.36,3186,17166,1613.83
"Angola","Heavy Rain With Lightnings",1,3,1,238,5353,116.47
"Angola","RIVERINE FLOOD",1,34,1,306.821944444444,2750.05,2
"Angola","FLOOD",1,13,63.48,2607,13212,440
"Angola","Heavy Rain With Lightnings",1,3,47,68.0705757575758,1002.23333333333,417.69
"Angola","FLOOD",1,2,58.5,809,9000,638
"Angola","FLOOD",1,6.2525,22.79,76,1114.25523809524,181.24
"Angola","LIGHTNING",1,130,450,1584.43318518519,2800,1520.36
"Angola","Heavy Rain With Lightnings",1,12.397,3,91,1094,62.99
"Angola","FLOOD",2,10,92.58,612.276,6267.00833333333,1045.75
"Angola","Heavy Rain With Lightnings",1,2,2,29.1307258932588,240.928777777778,77.45
"Angola","LANDSLIDE",1,74,147.42,992,5000,1047.42
"Angola","COASTAL EROSION",1,100,300,1407.495,7800,1308.2
"Angola","FIRE",2,7,2,3.97799999999999,22.58,59.345
"Angola","FLOOD",2,26,4,566,2681.98,661.76
"Angola","ROAD ACCIDENT",2,5,38,27.6266645021645,97.777,110.37
"Angola","FLOOD",5,10,20.28,119,777.95,64.88
"Angola","FLOOD",4,20,10,907,673,1096.34
"Angola","Heavy Rain With Lightnings",1,4.26154761904762,14.55,57,778.467738095238,159.1
"Angola","FLOOD",1,6.13,19.87,76,410,180.323333333333
"Angola","FLOOD",2,10,40,85,584,462
"Angola","Heavy Rain With Lightnings",1,4,15,60,360,360
"Angola","Heavy Rain With Lightnings",1,14.49,19.63,90.0842142857143,550,253.803333333333
"Angola","Heavy Rain With Lightnings",1,5.84571428571429,15.84,49,340,153.3
"Angola","LIGHTNING",1,2,6,7.08233333333333,14,37.3
"Angola","LIGHTNING",1,1,10,26.54,132,36.93
